imdb	dir	min	genres	rating	country	kind	synopsis
tt0244316	杨德昌	173	Drama	8.1	TW	Movie	台北一个中产家庭的群像。四十多岁的父亲、十几岁的女儿和八岁的儿子，各自在悔恨、希望与失落之间走过一段日子。
tt0443680	安德鲁·多米尼克	160	Biography,Crime,Drama	7.5	US	Movie	罗伯特·福特从小崇拜杰西·詹姆斯，千方百计混进这位密苏里悍匪重整的帮伙，却在朝夕相处中渐渐由崇拜转为怨恨。
tt5753856	巴兰·博·欧达尔	0	Crime,Drama,Mystery	8.7	DE	TVSeries	德国小镇上两个孩子接连失踪，牵出四个家庭之间盘根错节的关系——一部带着超自然色彩的家族史诗。
tt0210916	霍建起	93	Drama	7.8	CN	Movie	即将退休的老邮递员，带着接班的儿子走最后一趟湘西山区邮路。
tt0166924	大卫·林奇	147	Drama,Mystery,Thriller	7.9	FR	Movie	一场发生在穆赫兰道上的车祸让一个女人失去记忆，她和一个怀揣明星梦的女孩在洛杉矶四处寻找线索，一路走进梦与现实的缝隙。
tt7282468	李沧东	148	Crime,Drama,Mystery	7.4	KR	Movie	钟秀偶遇儿时的邻居惠美，替她照看出门旅行时留下的猫。惠美从非洲回来，身边多了一个神秘的男人本，他向钟秀坦白了自己的"秘密爱好"。
tt0110340	徐克	107	Comedy,Drama,Fantasy	7.3	HK	Movie	东晋年间，祝英台女扮男装进书院求学，爱上了清贫勤勉的梁山伯，这段短暂的爱情终究抵不过门第。
tt0085533	侯孝贤	99	Drama	7.3	TW	Movie	澎湖渔村的阿清和朋友们刚毕业，整天喝酒打架。三个人决定去高雄找工作，在陌生的港口城市里晃荡、长大。
tt6412864	洪常秀	101	Drama,Romance	6.8	KR	Movie	一位女演员在海边小城游荡，反复咀嚼自己和一个已婚男人之间的关系。
tt33764258	克里斯托弗·诺兰	172	Action,Adventure,Fantasy	8.4	GB	Movie	特洛伊战争之后，奥德修斯踏上凶险的归乡之路，一路遭遇独眼巨人、塞壬与卡吕普索。
tt0071324	胡金铨	102	Action,Drama,History	7.2	TW	Movie	明朝嘉靖年间，朝廷派遣一名官员带着一小队侠士前往东南沿海剿灭倭寇。
tt29002950	毕赣	160	Drama,Sci-Fi	7.2	CN	Movie	在一个人们以放弃做梦来延长寿命的世界里，仍有人偷偷做梦、扭曲时间。五场梦对应五种感官，也依次对应一个世纪里的五个时代。
tt33095194	方励	123	Documentary	8.3	CN	Movie	摄制组走访英、美、日、中四国，寻找亲历者与后人，一点点逼近"里斯本丸"沉没的真相。
tt0190332	李安	120	Action,Adventure,Drama	7.8	TW	Movie	年轻的玉娇龙盗走了大侠李慕白的青冥剑，与一个神秘男子一同逃进江湖与边塞的浪漫冒险之中。
tt0102816	关锦鹏	126	Biography,Drama,Romance	7.4	HK	Movie	三十年代默片女星阮玲玉的一生，戏里戏外交织着她的光芒与悲剧。
tt0093342	阿巴斯·基亚罗斯塔米	83	Adventure,Drama,Family	8.1	IR	Movie	八岁的阿默德错拿了同桌的作业本，如果不还回去，同桌就会被开除。他一个人出发，去邻村寻找朋友的家。
tt0192213	胡金铨	120	Action,Adventure,Drama	7.3	TW	Movie	明代三宝寺住持要选继承人，受邀而来的达官贵人里，有人觊觎的是寺中珍藏的大乘经卷。
tt0060635	胡金铨	111	Action,Adventure	7.5	TW	Movie	明景泰年间，忠臣被斩，东厂追杀其遗孤至边关龙门客栈，几位侠客挺身而出。
tt0189219	费穆	98	Drama,Romance	7.3	CN	Movie	江南小城，一个寂寞的主妇守着病弱的丈夫度日，直到她旧日的恋人回到了这里。
